SPK_SPKC10a,SPK_SPKC11a,SPK_SPKC11c,SPK_SPKC13a
150.34965,151.266775,150.1192,150.6379
150.456575,151.599375,150.16795,150.794075
150.746725,152.044725,150.1833,150.820275
150.97695,152.2263,150.238675,152.722025
151.11565,152.455175,150.255275,153.25335
151.2501,153.9814,150.5191,154.452975
151.266725,154.325675,150.625875,154.876925
151.493825,154.5197,151.08555,155.304075
151.5994,154.5915,151.2283,156.012
152.04475,154.754425,151.62535,157.412575
152.092,155.318325,151.776475,157.442775
152.44495,155.43425,151.977375,157.47885
152.4552,156.559375,152.024725,157.678575
152.5587,156.85285,152.16255,157.943525
153.36315,157.034275,152.482625,158.36215
153.393625,157.31335,153.202725,159.2838
153.40505,158.05315,153.4916,160.55435
153.763275,158.7649,153.747225,160.9257
153.811325,158.862875,153.93285,162.137875
153.8327,160.69895,154.0082,162.725925
153.928775,161.0415,154.0796,163.2414
153.9814,161.800925,154.316,164.63635
153.99825,162.577875,154.358025,165.35475
154.20495,163.309325,154.861425,165.87725
154.32565,163.4308,155.052025,165.908625
154.4527,163.45745,155.24435,166.509675
154.51965,165.2842,155.33415,167.37855
154.64935,166.98145,155.52475,167.509675
155.0353,167.801275,155.896575,168.1044
155.178625,167.990425,156.007175,168.31135
155.308625,168.94625,156.22865,168.679125
155.3183,169.12765,156.2429,169.200075
155.434225,169.43245,156.3682,169.446575
155.512625,169.965775,156.40435,169.471675
155.52345,171.091375,156.566225,169.519975
155.855925,173.642625,156.649425,169.5565
156.07475,173.819925,156.865475,169.675525
156.25965,174.48415,157.073,169.890525
156.312125,174.50875,157.2594,170.104575
156.4366,174.612625,157.35905,170.227375
156.559325,174.633425,157.469525,170.291175
156.638875,174.715425,157.615325,170.312425
156.653075,174.75505,157.67605,170.357225
156.7801,174.807775,157.822425,170.419625
156.852825,175.40435,157.8551,170.4972
156.861325,176.966575,158.05105,170.6343
156.86665,178.669625,158.234,170.647525
156.8736,181.341075,158.3685,171.15705
156.9199,181.74195,158.6293,171.457975
157.16775,182.075775,158.80705,171.47715
157.26195,183.49665,158.949175,171.5551
157.333675,184.818525,159.231475,171.7429
157.37195,186.197075,159.481625,171.9315
157.4107,186.234425,159.624425,172.02705
157.438975,187.128625,159.733625,172.0932
157.6078,187.3899,160.0399,172.6785
157.878325,187.80785,160.066925,173.2664
157.921025,188.696025,160.1164,173.2857
157.930175,189.0122,160.8039,173.3846
159.220525,191.692475,160.91005,175.4523
159.284425,192.987925,161.0346,175.604
159.301075,193.68775,161.409525,175.961
159.559375,195.757625,161.5557,176.069175
159.670425,195.893275,161.785425,176.1961
159.692575,198.211725,161.830225,176.35755
159.82325,199.305225,162.028425,176.5915
159.922375,199.573575,162.07625,176.67595
160.2554,199.6885,162.113375,176.91845
160.698925,200.9495,162.26185,177.686675
160.754425,201.2427,162.721825,177.7874
160.911125,202.381525,162.815875,177.948525
161.0415,203.982275,162.902975,178.861975
161.061475,205.105525,162.9309,178.9566
161.0834,206.193925,163.07415,178.985725
161.3404,206.653575,163.264475,179.469025
161.838425,210.1536,163.3272,179.816725
162.866325,211.923575,163.406575,179.8675
162.901525,214.336325,163.58055,179.996425
162.956975,214.837725,163.598225,180.209225
163.026425,215.820025,164.021275,180.6522
163.059075,216.29805,164.27105,180.82805
163.212225,216.42635,164.33095,180.868475
163.30525,219.9067,164.504975,180.8881
163.309325,220.0765,164.667725,181.115825
163.4574,221.14805,164.737725,181.172
163.5601,222.279525,165.0935,181.345575
163.61885,223.67655,165.186425,181.5335
163.656025,224.3848,165.386025,181.87055
163.767875,224.839175,165.477725,182.096925
163.80045,225.87745,165.85065,182.2865
163.89455,227.684325,165.9372,182.44095
163.9136,229.19685,166.027825,182.456075
163.9412,229.996825,166.121175,182.45795
163.97865,231.352525,166.491825,182.601525
163.989075,234.6021,166.538475,182.643525
164.1461,236.39105,166.565775,182.9839
164.6011,245.4983,166.598125,183.391875
165.270425,246.0216,166.6631,183.673075
166.0046,248.856375,167.00515,183.799
166.477525,251.1023,167.156775,184.0782
166.4936,251.85315,167.269325,184.158125
166.54735,254.978575,167.31155,184.39225
166.819425,256.164025,167.498,184.775775
166.914775,256.222675,167.544975,184.8295
167.218025,258.382,167.620675,184.9908
167.35905,261.914175,168.297075,185.293675
167.374675,263.083175,168.335125,185.561125
167.397625,263.633075,168.666975,185.922925
167.592675,264.56925,168.9107,185.968225
167.6886,268.9964,169.0366,186.01715
167.727525,269.5917,169.07705,186.141675
167.8013,270.207025,169.10965,186.450575
167.8565,272.96585,169.152875,186.6354
168.509675,273.276875,169.17935,187.12305
169.1706,278.93695,169.348225,187.5775
169.238125,283.447125,169.438825,187.5883
169.252025,284.0636,169.45645,188.851925
169.2889,285.063525,169.47875,188.955
169.39375,285.93985,169.523875,188.9808
169.401025,286.279475,169.55965,189.416725
169.4134,287.104975,169.60035,190.5075
169.423125,287.89965,169.634575,190.674425
169.4511,288.274475,169.7106,191.23325
169.457725,288.30665,169.738525,191.660425
169.50435,290.13485,170.0701,192.414875
169.639825,291.124925,170.30725,192.479125
169.659075,293.4746,170.485075,192.49615
169.72395,294.4066,170.620775,192.51195
169.7325,296.2427,170.668625,192.5977
169.7681,297.425425,170.68865,193.12275
169.793325,304.5832,170.89695,193.1982
169.830775,306.7075,171.1316,193.275125
169.85105,307.581225,171.227325,193.332225
169.89375,307.60715,171.25905,193.446175
169.936725,,171.271575,193.726025
169.96575,,171.3923,194.116225
169.97415,,171.47045,194.828
169.993575,,171.487725,195.0406
170.051725,,171.603575,195.22885
170.082825,,171.6693,195.337925
170.13285,,171.728575,195.747925
170.178925,,171.84195,195.81115
170.19405,,171.940375,197.45165
170.216775,,171.973775,197.627975
170.244,,172.13725,197.707625
170.254875,,172.496925,197.930775
170.31155,,172.66,198.656275
170.32065,,172.691625,198.734175
170.40435,,172.8735,199.16025
170.434125,,172.910925,199.233
170.46295,,173.26395,199.999925
170.558475,,173.288025,200.158075
170.56785,,173.30985,200.3044
170.6377,,173.614525,200.78835
170.6451,,173.6925,201.04235
170.71315,,174.24085,201.521875
170.78155,,174.30045,201.715725
170.831825,,174.343875,201.796275
170.841,,174.475725,201.981125
170.88315,,174.557375,202.125875
170.9016,,174.7403,202.669225
170.9466,,174.893725,202.800175
170.98175,,174.967575,203.4055
171.0172,,175.10185,203.571925
171.134575,,175.278725,203.610825
171.1547,,175.48445,203.6245
171.28855,,175.501125,203.6761
171.3097,,175.53315,203.9152
171.39465,,175.824375,204.594
171.41395,,175.970725,204.614025
171.425575,,176.01885,204.817275
171.438475,,176.223375,204.903675
171.4578,,176.2572,205.122175
171.486625,,176.27275,205.15535
171.50655,,176.372125,205.23485
171.52465,,176.54095,205.40625
171.657575,,176.54975,205.46655
171.67885,,176.62765,205.4862
171.7467,,176.720725,205.62475
171.7734,,176.801,205.776875
171.78485,,176.9114,205.8078
171.81415,,176.93545,206.063575
171.867525,,177.076125,206.194775
171.969525,,177.109875,206.566925
172.07855,,177.238925,206.574075
172.10485,,177.362925,206.68135
172.236225,,177.412275,206.90695
172.247975,,177.468825,207.0271
172.270875,,177.5286,207.70305
172.310975,,177.530375,207.75865
172.411475,,177.62835,207.930175
172.4363,,177.787375,207.963675
172.469,,177.82555,208.07635
172.493,,177.856125,208.112625
172.51255,,177.895725,209.07165
172.5417,,177.975375,209.635575
172.553775,,178.037175,209.7296
172.583725,,178.1201,210.367125
172.5921,,178.160625,210.449525
172.6132,,178.296175,210.567475
172.724725,,178.333425,210.625925
172.86055,,178.47565,210.71655
172.876225,,178.497475,212.02695
172.927175,,178.5865,213.263275
172.949025,,178.6204,213.3783
172.96885,,178.7526,214.7415
173.00565,,178.873225,214.762875
173.0367,,178.9041,214.805275
173.055775,,179.14225,214.956875
173.0808,,179.1743,215.234525
173.120775,,179.2663,215.24465
173.16355,,179.3173,217.450025
173.177325,,179.444175,217.5607
173.19205,,179.4906,217.917725
173.2179,,179.5226,218.410975
173.242175,,179.622675,218.91225
173.25985,,179.728025,219.4318
173.33655,,179.752425,220.81755
173.393075,,179.799175,221.41695
173.414175,,179.88575,225.21275
173.4315,,180.076625,225.274975
173.4559,,180.142725,225.423575
173.488225,,180.156075,225.55755
173.4975,,180.309825,226.1764
173.704525,,180.333725,226.50625
173.785,,180.405325,226.662075
173.9611,,180.416325,227.561475
174.162575,,180.493975,227.707325
174.1737,,180.66745,227.822525
174.4279,,180.7168,228.690475
174.484125,,180.75215,228.896875
174.612575,,180.90845,229.13045
174.7154,,180.97535,229.137025
174.742875,,181.021925,229.299875
174.755025,,181.255125,229.48535
174.8078,,181.44715,230.13615
174.9745,,181.50465,230.5105
175.19255,,181.61355,231.32515
175.40435,,181.675675,231.77085
175.72475,,181.770525,231.851625
175.7652,,181.9629,232.12295
175.780375,,182.000725,232.319775
175.869325,,182.019025,232.65465
175.893225,,182.052875,232.82135
175.940675,,182.1855,233.463975
175.994725,,182.3448,234.1164
176.00955,,182.5474,234.758275
176.067625,,182.59915,234.91065
176.123175,,182.64985,235.098375
176.1377,,182.711725,235.87635
176.199025,,182.762275,236.328425
176.225225,,182.853875,236.84705
176.304825,,182.923,238.861625
176.318,,183.12335,239.0353
176.3457,,183.256625,239.12745
176.3659,,183.32915,239.93395
176.422325,,183.393525,240.562275
176.4569,,183.457325,240.8115
176.52155,,183.605925,241.36765
176.539525,,183.6625,241.86915
176.550675,,183.6673,242.107425
176.656025,,183.72735,242.534725
176.67925,,183.7462,242.698175
176.710725,,183.84395,242.87625
176.793025,,183.90395,243.457525
176.840275,,183.941875,243.5462
176.978225,,184.01075,245.152675
177.015375,,184.119975,245.198525
177.055575,,184.30675,245.409
177.1108,,184.365525,246.270525
177.1865,,184.412625,246.410375
177.206025,,184.425875,246.5377
177.243975,,184.451375,246.730375
177.257175,,184.49815,246.79845
177.282075,,184.75995,247.3575
177.319175,,184.8049,247.559225
177.352875,,184.815875,247.694775
177.36095,,184.836525,247.7447
177.37475,,184.92165,247.8431
177.411125,,184.957925,248.2308
177.4328,,185.03675,248.827
177.47655,,185.3821,248.901775
177.4973,,185.431725,248.948325
177.524925,,185.468575,249.04155
177.584525,,185.514925,249.5119
177.702125,,185.54555,249.62165
177.74775,,185.704925,249.736475
177.8067,,185.744875,249.807925
177.844975,,185.985825,249.829425
177.98125,,186.1224,249.83615
177.99505,,186.2452,249.943975
178.108325,,186.54965,249.954975
178.122675,,186.575225,249.96835
178.214125,,186.753175,250.26165
178.324725,,186.796275,250.52915
178.3407,,186.9201,250.6405
178.351125,,186.999825,251.364375
178.53735,,187.15755,251.7523
178.610475,,187.30835,252.032925
178.669575,,187.495325,252.92805
178.820875,,187.526975,253.0219
178.97045,,187.527975,253.232025
179.09135,,187.553525,253.9845
179.11075,,187.60905,254.359
179.122975,,187.6597,254.466975
179.16205,,187.7645,254.869225
179.1845,,187.772575,255.3136
179.2139,,187.87815,255.563975
179.229375,,187.913875,255.689275
179.2405,,187.9485,256.1664
179.314825,,188.022525,257.5544
179.329675,,188.20695,257.9568
179.34775,,188.325275,258.4659
179.41515,,188.388225,258.647125
179.433675,,188.6133,259.16505
179.453525,,188.647475,259.19455
179.487475,,188.86765,259.41225
179.52545,,189.0868,259.477775
179.54795,,189.13685,259.654625
179.627075,,189.2375,259.9299
179.697375,,189.310125,260.041125
179.710875,,189.375325,260.562
179.754025,,189.4269,261.302125
179.77885,,189.4652,261.47695
179.7944,,189.5408,261.865225
179.812375,,189.699025,262.438475
179.826175,,190.0559,262.9336
179.840275,,190.146025,263.0288
179.849375,,190.277825,264.004975
179.866775,,190.3347,264.0576
179.874775,,190.34285,264.5057
179.902475,,190.418175,265.340775
179.910775,,190.4397,265.38875
179.929725,,190.593425,265.6352
179.95685,,190.968125,265.7257
179.982175,,191.004525,265.775525
180.008475,,191.09,266.033775
180.025475,,191.129425,267.009675
180.09405,,191.236125,270.773075
180.154575,,191.27015,271.3099
180.170825,,191.37605,271.43885
180.204475,,191.42985,272.19015
180.252025,,191.4456,272.751625
180.265475,,191.61865,272.894875
180.2717,,191.95885,273.083825
180.31445,,192.055225,273.117875
180.390475,,192.1208,273.13145
180.43085,,192.1654,273.200025
180.439925,,192.3054,273.30775
180.465475,,192.3599,273.521425
180.47555,,192.475075,273.7129
180.570425,,192.600225,274.2521
180.614825,,192.79115,274.283625
180.7355,,192.84355,274.514475
180.896525,,193.0634,274.759575
180.906975,,193.174225,274.8404
180.9282,,193.3374,274.8728
180.9684,,193.48045,275.06605
181.046975,,193.549175,275.1206
181.15035,,193.5781,275.1507
181.182525,,193.6479,275.1639
181.230225,,193.710925,275.3144
181.266575,,193.75265,275.502525
181.2773,,193.7752,275.87185
181.29965,,193.96865,275.94765
181.3225,,194.063125,276.22825
181.341075,,194.11835,276.381075
181.516825,,194.333,276.489225
181.576075,,194.3635,276.506475
181.663425,,194.470025,276.7048
181.680925,,194.5973,277.95935
181.706,,194.6784,278.2901
181.7214,,194.7274,278.333175
181.732575,,194.8283,278.488725
181.741925,,194.97455,278.749375
181.76945,,195.02275,280.857225
181.787225,,195.061025,281.30415
181.868725,,195.08305,281.761
181.8903,,195.1953,281.843025
181.912075,,195.24845,282.31815
181.924075,,195.533275,282.8392
181.959525,,195.567025,282.997
181.971575,,195.690525,283.15825
181.981025,,195.73895,283.65635
182.01415,,195.784825,283.69145
182.0421,,195.83945,284.392375
182.103675,,196.0987,284.4596
182.1157,,196.453625,284.587225
182.15905,,196.72725,284.639225
182.18815,,196.771425,284.950725
182.293425,,196.8419,284.96085
182.3407,,196.890325,284.9931
182.3595,,197.054525,285.004675
182.3756,,197.211675,285.13265
182.4577,,197.549625,285.7847
182.471725,,197.633925,285.976125
182.612175,,198.012725,286.53995
182.766875,,198.04585,286.626175
182.79835,,198.088925,286.78115
182.96605,,198.152425,286.9993
183.031575,,198.34225,287.07865
183.090775,,198.366025,287.3628
183.107625,,198.559775,287.472875
183.166025,,198.838025,287.60885
183.222475,,198.918675,288.076225
183.3252,,198.95785,288.301525
183.338275,,199.089225,288.6833
183.389425,,199.260675,288.713975
183.425925,,199.329475,288.9598
183.49665,,199.4036,289.072225
183.6242,,199.52925,289.293625
183.649025,,199.716825,289.392575
183.783825,,199.78705,289.479575
183.80735,,199.8147,289.57475
183.89455,,199.99005,289.60335
183.936325,,200.023475,289.664725
183.96715,,200.03155,289.735
184.001775,,200.089775,289.91865
184.020625,,200.15685,290.030925
184.09865,,200.2169,290.14275
184.157925,,200.384675,290.416875
184.283375,,200.47645,290.492625
184.323675,,200.78515,290.608825
184.395525,,200.848875,290.65335
184.4447,,200.868775,290.7001
184.863475,,200.9677,290.9272
184.955525,,200.975725,290.947175
185.057375,,201.385425,291.0243
185.140975,,201.42175,291.081
185.25665,,201.4955,291.105
185.313575,,201.7692,291.408725
185.366675,,201.82685,291.463
185.47315,,201.850675,292.11235
185.4932,,201.973425,292.7841
185.529425,,202.0782,292.9837
185.5877,,202.11265,293.00215
185.6032,,202.299225,293.2734
185.671,,202.396675,293.555825
185.70885,,202.460375,293.7395
185.766425,,202.489925,293.783
185.800875,,202.556725,293.8205
185.81545,,202.653175,294.1944
185.8651,,202.810075,294.301625
185.8842,,202.898325,294.7283
185.94125,,202.996525,294.8099
185.9586,,203.0223,295.15525
186.026075,,203.075,295.433075
186.19705,,203.096825,295.7832
186.27905,,203.14695,295.874175
186.3539,,203.187675,295.8925
186.387675,,203.24375,295.9651
186.4926,,203.27685,296.059575
186.522725,,203.339575,296.275475
186.533575,,203.434625,296.969875
186.595975,,203.502875,297.003675
186.608,,203.608625,297.226625
186.6142,,203.6251,297.879075
186.771025,,203.683675,297.960325
186.813375,,203.71585,297.9974
187.019,,203.740925,298.066575
187.03595,,203.790075,298.41235
187.098325,,203.903125,299.13425
187.128625,,204.032175,299.370325
187.136475,,204.20085,299.398275
187.15995,,204.248975,299.65715
187.315575,,204.57605,299.73475
187.389925,,204.606225,299.998475
187.48815,,204.646675,300.01605
187.510325,,204.7455,300.083925
187.807925,,204.800925,300.100075
187.951675,,204.91415,300.40385
188.036275,,205.006975,301.205325
188.13625,,205.015125,301.347175
188.159775,,205.171575,301.51535
188.359975,,205.260775,301.534025
188.377575,,205.31985,302.432825
188.44155,,205.44965,302.75625
188.5055,,205.53005,302.7944
188.538375,,205.68415,302.8455
188.597225,,205.7969,303.171725
188.696025,,205.90975,303.1895
188.760825,,205.98745,303.312675
188.9283,,206.014525,303.35275
189.02265,,206.13365,303.41065
189.041125,,206.2058,303.631775
189.1083,,206.26195,304.08515
189.476575,,206.366725,304.110675
189.60035,,206.51535,304.175075
189.648675,,206.52665,304.2902
189.75315,,206.585725,304.95885
189.9656,,206.7635,304.9912
190.1627,,207.003775,305.584475
190.2073,,207.052875,305.62685
190.25895,,207.119525,305.8395
190.300675,,207.158275,305.9276
190.313575,,207.2469,306.0893
190.32645,,207.2835,306.21675
190.50715,,207.386075,306.609825
190.67615,,207.4423,306.63655
190.7451,,207.59175,306.805325
190.7621,,207.69515,306.8732
190.78435,,207.719675,308.03135
190.9942,,207.779225,308.561225
191.017975,,207.8013,308.9222
191.091325,,207.822225,309.101725
191.1042,,207.922675,
191.125875,,208.1413,
191.158825,,208.17775,
191.17065,,208.196725,
191.186075,,208.2526,
191.299725,,208.2839,
191.435125,,208.349075,
191.629575,,208.53415,
191.682,,208.68425,
192.051325,,208.854575,
192.29425,,208.87885,
192.304425,,208.93515,
192.3187,,208.96615,
192.383825,,209.0866,
192.408425,,209.121025,
192.451775,,209.1418,
192.491675,,209.167725,
192.766475,,209.20325,
192.874525,,209.3799,
192.89465,,209.436775,
192.9377,,209.49595,
193.04405,,209.52365,
193.0958,,209.65165,
193.145575,,209.70395,
193.36235,,209.74665,
193.393175,,209.7863,
193.413525,,209.994775,
193.58815,,210.07005,
193.666925,,210.289375,
193.687775,,210.339425,
193.71205,,210.47075,
193.7208,,210.8372,
193.75095,,210.89965,
193.959225,,211.00825,
193.97155,,211.213575,
194.0184,,211.416975,
194.030275,,211.432775,
194.074725,,211.47315,
194.206925,,211.717775,
194.49565,,211.73275,
194.5332,,211.84875,
194.55335,,212.1396,
194.56725,,212.177175,
194.690475,,212.340375,
194.741375,,212.384375,
195.2163,,212.4344,
195.225175,,212.518,
195.238475,,212.65435,
195.363175,,212.80105,
195.572075,,212.986325,
196.439725,,213.051075,
196.48395,,213.232425,
197.43385,,213.31455,
197.442575,,213.45605,
197.555125,,213.48295,
197.824975,,213.5566,
198.2312,,213.745975,
198.43355,,214.2462,
198.472025,,214.4284,
198.5516,,214.4862,
198.715175,,214.526225,
198.7285,,214.594325,
198.750725,,214.6444,
198.8466,,214.795825,
198.8959,,215.26465,
199.0585,,215.299725,
199.5209,,215.4419,
199.565625,,215.477075,
199.671975,,215.56905,
199.688475,,215.62015,
200.027925,,215.6946,
200.076275,,215.884275,
200.085975,,216.154775,
200.13105,,216.26505,
200.408125,,216.876675,
200.7656,,216.989625,
200.783125,,217.078075,
200.83505,,217.23475,
200.899825,,217.26155,
200.9426,,217.39875,
200.949475,,217.650125,
201.24265,,218.0099,
201.274025,,218.058,
201.81755,,218.196975,
201.8594,,218.6068,
201.940025,,218.8258,
202.301575,,219.09015,
202.333075,,219.142125,
202.39815,,219.287775,
202.468575,,219.54045,
202.68135,,219.6085,
202.70925,,219.872425,
202.808025,,220.1112,
202.862075,,220.270575,
202.92325,,220.353675,
202.971325,,220.481825,
202.987075,,220.64455,
202.998525,,220.74265,
203.023425,,220.833975,
203.039575,,220.975625,
203.059925,,221.228425,
203.09305,,221.288,
203.1903,,221.503125,
203.2667,,221.6105,
203.293375,,221.638,
203.34215,,221.843725,
203.37435,,221.97165,
203.38965,,222.018875,
203.4249,,222.077,
203.439675,,222.25395,
203.466925,,222.789875,
203.476275,,222.81825,
203.48835,,223.051575,
203.4987,,223.29685,
203.54925,,223.3662,
203.56315,,223.6387,
203.607175,,223.82575,
203.70655,,223.913625,
203.752825,,223.930775,
203.835075,,223.970825,
203.874325,,224.0222,
203.904075,,224.359475,
203.93255,,224.4116,
203.94905,,224.5956,
203.98225,,224.656675,
204.0144,,224.807075,
204.055475,,224.86255,
204.064675,,224.887625,
204.10745,,225.229375,
204.133025,,225.262825,
204.1989,,225.276075,
204.478425,,225.4055,
204.526,,225.542175,
204.60025,,225.575025,
204.71815,,225.623075,
204.7806,,225.6443,
204.80625,,225.7854,
204.852075,,225.969375,
204.887875,,226.06595,
204.949,,226.17165,
204.96155,,226.2055,
204.969925,,226.2363,
204.984525,,226.3324,
205.018175,,226.388625,
205.056,,226.61365,
205.105475,,226.91805,
205.1924,,226.9487,
205.243825,,226.991625,
205.2675,,227.434925,
205.29255,,227.5251,
205.316,,227.6743,
205.372125,,227.94055,
205.4059,,228.000625,
