SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12b,SPK_SPKC13a,SPK_SPKC13b
0.427025,0.621425,0.229875,0.5815,0.5769,11.09775
0.547,5.283475,0.91585,2.354025,0.66265,11.696575
0.83005,6.321675,1.359275,4.73575,1.031925,11.8981
0.854125,6.375075,1.6365,5.1226,1.1556,11.96825
1.246625,9.123475,1.807725,5.434675,1.3491,12.061725
1.566,12.226475,1.9854,5.4999,1.71675,12.07995
1.9153,12.8282,2.075925,5.5459,1.835525,12.102675
3.203025,13.8078,2.478225,5.55445,3.042275,12.11955
3.79355,13.824325,2.715575,5.964225,3.2187,12.61195
4.3929,15.1958,2.9485,7.3553,3.516025,13.658
4.729575,15.959725,3.523075,8.75665,3.568125,13.92945
5.038725,16.46495,3.81705,8.80455,4.283825,14.0776
6.041625,19.1909,3.970925,8.88005,4.514925,14.185975
6.1405,21.675575,4.591075,8.903,4.9195,14.188925
7.161525,23.917775,5.08615,9.285475,4.9728,14.272575
7.284875,27.0728,5.268325,9.32035,5.003925,14.3362
7.38715,27.6974,5.64385,9.3668,5.018725,14.548625
7.40845,30.439475,5.813525,9.42295,5.057025,14.742625
8.3939,31.683825,6.2709,9.441875,5.07715,14.835225
9.574775,37.402625,6.4674,9.4588,5.1204,14.9368
10.56235,44.436275,7.17635,9.492425,5.2306,14.9878
11.40715,49.459825,7.30965,9.539225,5.245475,15.0846
12.03085,51.7436,7.6551,9.576575,5.270325,15.27855
12.611975,60.802675,7.754875,9.5907,5.282925,15.36745
12.9928,70.44735,7.994425,9.64655,5.356425,15.457975
13.033725,74.30885,8.11685,9.6999,5.3985,15.626075
13.3768,74.565325,8.385375,9.72895,5.451275,15.665425
13.657975,79.19135,9.380325,9.772975,5.46775,15.76625
13.92945,82.58575,9.5642,9.78855,5.59205,16.034575
13.9705,88.312375,10.0453,9.84545,5.776525,16.073375
14.93325,91.337475,10.2224,9.934625,5.808825,16.237125
14.936825,96.57495,10.455325,9.946625,5.8744,16.283225
14.9878,103.79725,10.521075,9.968075,5.9177,16.3729
15.535675,105.88125,10.8238,10.0528,5.954,16.5311
16.28325,107.9083,10.91525,10.075175,5.991675,16.643575
16.39065,113.222575,11.1537,10.17055,6.08415,16.695875
16.437725,114.986375,11.5364,10.212775,6.123725,16.829825
17.18895,115.71905,11.54705,10.253175,6.139575,17.141625
17.224275,117.327725,11.711475,10.338825,6.185575,17.188925
17.564725,126.737475,11.727175,10.474875,6.2005,17.22425
18.06825,128.508725,11.829,10.547375,6.294375,17.377225
18.280075,131.2295,11.932025,10.607975,6.371725,17.484225
18.698675,137.833875,12.0292,10.697675,6.45635,17.5647
18.710275,138.567375,12.170325,10.753875,6.49595,17.70515
18.937675,139.507175,12.368875,10.84665,6.5167,17.7371
19.24585,139.508725,12.47515,10.9535,6.6246,18.023775
19.3026,139.92285,12.51395,11.009125,6.650525,18.120775
19.908425,140.081875,12.5189,11.112,6.7295,18.205825
19.9874,141.10875,12.615775,11.176225,6.778075,18.25995
20.53635,141.182575,12.6878,11.288925,6.81965,18.412275
20.57385,141.237325,12.77745,11.4344,6.9281,18.42925
21.385875,141.553625,12.80265,11.806975,7.016,18.54845
21.42545,141.963275,12.8839,11.8287,7.033875,18.653975
21.7228,142.02205,13.127575,11.9543,7.0693,18.69865
22.001175,143.0488,13.201575,12.0171,7.1024,18.848125
22.035975,144.476275,13.376175,12.137625,7.164775,18.9377
22.096,144.52895,13.4663,12.226425,7.203825,19.11345
22.252025,144.68345,13.577275,12.32755,7.25415,19.15275
22.385375,145.1939,13.769925,12.375725,7.269175,19.222675
22.480475,145.998575,13.86375,12.51475,7.403125,19.302575
23.02655,146.0011,14.01065,12.55715,7.435825,19.382425
23.0795,146.23365,14.112625,12.619575,7.49675,19.52825
23.442475,146.7497,14.207925,12.729725,7.535125,19.589725
23.4783,147.010125,14.2187,12.8001,7.556475,20.0062
23.966575,147.647975,14.400525,12.828175,7.607625,20.071525
24.0324,148.027425,14.567175,12.887375,7.68425,20.1892
24.752375,148.11345,14.7314,12.928675,7.751,20.2853
24.900025,148.23325,14.9079,13.008,7.7762,20.311425
25.30835,148.684325,14.9993,13.0627,7.811575,20.46605
25.379425,148.736925,15.1558,13.145525,7.86125,20.66575
25.536725,150.21225,15.3592,13.172925,7.887275,20.72635
25.581575,150.3926,15.572925,13.1867,7.904175,20.78075
25.6581,153.0756,15.739825,13.2701,7.92095,20.83455
25.830275,154.656925,15.87,13.31475,7.93125,21.12765
25.95095,156.1573,15.955875,13.3644,7.97475,21.1629
25.9954,163.0284,16.12115,13.398525,7.99335,21.290825
26.070525,166.615425,16.2501,13.477775,8.29505,21.385875
26.249,170.390425,16.37165,13.52495,8.4511,21.425425
26.81405,170.5109,16.37605,13.607375,8.629775,21.58505
26.886475,171.248975,16.4713,13.649875,8.691775,21.761825
26.9493,171.282025,16.6748,13.706375,8.755825,21.806525
27.23265,171.463975,16.801375,13.773425,9.1294,21.8708
27.591525,172.6964,16.881825,13.824325,9.17815,21.903575
27.831125,174.919825,16.98695,13.8861,9.252,21.95075
28.49485,175.958775,17.073175,14.08755,9.2665,22.008325
28.645075,176.301625,17.152125,14.188875,9.311625,22.095975
28.682875,177.323375,17.21495,14.3481,9.3708,22.252025
28.71155,177.665225,17.49015,14.522825,9.422975,22.274825
29.651825,177.679425,17.634875,14.610375,9.45155,22.385375
29.99955,178.14255,17.72575,14.7379,9.620425,22.40795
30.3961,179.571325,17.805625,14.859125,9.646525,22.509025
30.755725,180.12865,17.939725,15.107275,9.67105,22.650775
31.2617,180.464725,18.22225,15.2606,9.71005,22.695825
31.555525,180.691225,18.2306,15.814825,9.7515,22.73925
31.650825,181.135225,18.346925,15.959725,9.8295,23.165125
31.7868,182.396375,18.476125,16.1744,9.856775,23.194825
33.00985,185.321625,18.5083,17.117675,9.930225,23.400325
33.06005,188.003375,18.652025,18.226125,9.946575,23.442475
33.1167,188.11185,18.7952,19.190875,9.96035,23.545325
33.163325,188.282225,19.057375,20.2265,9.968075,23.66295
33.46795,188.69145,19.175775,32.710575,9.9962,23.716025
33.503475,188.74645,19.598475,34.505125,10.05285,23.758
34.055425,188.913975,19.7492,42.038175,10.054825,23.931975
34.8456,189.146975,19.92565,46.517025,10.062925,23.9854
35.566675,190.316875,20.49425,54.251325,10.079125,24.0324
36.16145,191.379575,20.62945,60.802725,10.1372,24.388025
36.545925,191.6001,20.78805,61.1105,10.190525,24.428425
36.822025,191.657,20.988625,61.732575,10.241675,24.5307
38.15225,191.847575,21.204325,64.674925,10.309125,24.5535
38.378975,198.416325,21.349975,65.815275,10.336025,24.757175
38.452275,,21.378875,66.3214,10.33885,24.856775
38.516725,,21.467975,68.7659,10.352925,24.92835
38.670425,,21.5846,69.72295,10.3688,24.971775
39.213325,,21.609325,73.0898,10.40815,25.009975
39.710025,,21.8724,73.796675,10.432375,25.054075
40.011275,,21.99505,74.0387,10.4882,25.143175
40.1533,,22.169775,74.17925,10.538875,25.2579
41.018775,,22.593675,74.5654,10.600825,25.2961
41.253425,,22.64845,75.880625,10.63305,25.327575
41.48695,,22.746525,76.820375,10.6557,25.421325
41.574275,,22.899575,79.430525,10.7263,25.462975
42.12585,,23.0726,82.2081,10.798225,25.486
42.3503,,23.121575,82.58585,10.896375,25.5367
43.0842,,23.28795,83.5562,10.9789,25.56825
43.873675,,23.475075,84.5648,11.038,25.630825
43.94435,,23.698,85.504,11.122625,25.658075
44.0984,,23.8168,85.572325,11.2084,25.72905
44.2166,,24.255775,86.3995,11.32045,25.750275
44.274925,,24.353125,87.86625,11.383125,25.76945
44.3008,,24.4877,88.312425,11.43305,25.813025
44.3569,,24.72605,91.912525,11.4575,25.8642
44.577625,,25.2436,93.327,11.4738,25.97555
45.249875,,25.427025,95.953125,11.589875,26.022975
45.475725,,25.622475,96.278575,11.7094,26.039575
45.521325,,25.970575,98.908475,11.76465,26.073125
45.906475,,26.10545,98.985725,11.806775,26.096625
47.06115,,26.2417,99.452325,11.843775,26.1826
47.11345,,26.333225,99.704225,11.8908,26.239725
47.2592,,26.44355,100.13095,11.908325,26.287325
47.5086,,26.5753,100.4731,11.9649,26.48065
47.733575,,26.658825,101.20425,12.0003,26.6097
47.7788,,26.77285,101.604425,12.0933,26.8104
47.86995,,26.939675,102.9897,12.12095,26.859875
48.1042,,27.085325,103.309975,12.15305,26.981525
48.24125,,27.2725,103.797225,12.17025,27.061875
48.7303,,27.37745,104.0962,12.216725,27.109725
49.1151,,27.3905,105.722025,12.26995,27.1387
49.808775,,27.61025,105.881225,12.345075,27.1659
49.8593,,27.70365,107.596725,12.455775,27.2746
50.8337,,27.853775,108.35935,12.482775,27.4915
52.6725,,27.95575,108.4821,12.62855,27.495975
52.983075,,27.9736,109.14575,12.639075,27.5513
53.08925,,28.08445,110.15665,12.675,27.64145
54.22545,,28.101125,110.854075,12.736075,27.7307
54.3069,,28.227175,111.15515,12.806225,27.7498
55.5019,,28.346525,111.97,12.82435,27.777825
55.745925,,28.550225,116.305675,12.844525,27.853825
56.3389,,28.667875,117.327825,12.934725,28.071175
56.721475,,28.7975,118.54885,13.0325,28.153225
57.667325,,29.003675,122.7,13.4091,28.254575
58.090825,,29.24635,123.05955,13.53245,28.2972
58.156925,,29.275925,124.29005,13.617625,28.3654
58.23525,,29.43685,126.574575,13.6591,28.418675
58.5418,,29.562225,126.73745,13.734275,28.461525
58.70575,,29.739925,126.7924,13.86245,28.494825
58.891725,,29.89045,128.031375,13.902525,28.5261
59.757625,,30.22325,128.5088,13.999075,28.595275
59.807125,,30.38115,129.269525,14.120675,28.85555
59.89765,,30.53655,130.496,14.411225,28.9067
60.26805,,30.541325,139.05395,14.656375,28.9613
60.550675,,30.7088,139.08915,14.7121,29.12385
60.96415,,30.8215,139.191325,14.8055,29.1515
61.295975,,30.855225,139.340175,15.006075,29.391825
61.37465,,30.9276,139.40675,15.130875,29.603175
61.8393,,31.1052,139.642,15.421975,29.7772
61.97795,,31.17575,139.7475,15.630625,29.859125
62.14355,,31.220025,139.750225,15.6736,29.958975
62.6008,,31.3674,140.03255,15.720175,30.01585
63.697125,,31.419425,140.158275,16.3456,30.07465
64.158125,,31.49915,140.476175,16.3661,30.145675
64.287875,,31.55875,140.634575,16.382775,30.2307
64.474875,,31.7559,140.720075,16.48185,30.3113
65.03045,,31.91795,140.772275,16.644825,30.41675
65.1421,,32.19475,140.844425,16.844575,30.979975
65.30495,,32.405675,140.909875,16.897425,31.468475
65.451625,,32.50835,140.96685,17.103125,31.5323
65.5233,,32.6453,141.030225,17.179475,31.6044
65.89955,,32.66705,141.06395,17.2268,31.67725
66.175475,,32.977175,141.066975,17.309525,31.8047
66.2187,,33.130425,141.12955,17.34675,31.88625
66.97835,,33.367625,141.226825,17.481975,32.02265
67.472,,33.51905,141.254325,17.62575,32.082575
68.0044,,33.572325,141.322825,17.6575,32.220375
68.0311,,33.702525,141.362325,17.752975,32.304925
68.533125,,33.88455,141.4107,18.207025,32.376425
68.79435,,34.0454,141.450125,18.326925,32.413
68.888125,,34.367075,141.501925,18.43225,32.4316
69.255475,,34.47085,141.5536,18.492625,32.463925
69.32895,,34.64755,141.603075,18.5913,32.4947
70.764825,,34.664225,141.6583,18.632375,32.569425
70.99235,,34.79115,141.70085,18.677125,32.612725
71.1423,,34.9496,141.71915,18.806575,32.649025
72.9711,,35.0263,141.7324,19.055775,32.71655
73.03855,,35.096625,141.776575,19.1862,32.745725
74.05845,,35.3485,141.812775,19.452,32.78035
74.448125,,35.504175,141.93235,19.5714,32.7988
74.886275,,35.532475,141.96325,19.623675,32.848825
76.032275,,35.668725,142.0035,19.682525,32.87165
76.109825,,36.122275,142.042825,19.72615,32.8897
76.951975,,36.399575,142.2075,19.86455,32.930325
77.09865,,36.63775,142.268075,20.08175,33.002425
78.703625,,36.7766,142.347275,20.164225,33.1193
79.042275,,36.804925,142.40935,20.2591,33.3595
79.160375,,36.9342,142.51985,20.344475,33.4214
79.811525,,37.022975,142.57185,20.5952,33.517125
81.904525,,37.13865,142.5958,20.792825,33.6417
81.9717,,37.315975,142.6957,21.0212,33.687825
82.38495,,37.54575,142.744725,21.06615,33.786125
82.444075,,37.68225,142.7769,21.251375,33.814875
84.03525,,37.846125,142.89915,21.383175,33.880225
84.06405,,37.94475,142.966,21.5055,33.92415
84.08405,,38.11945,143.0488,21.560725,33.9621
84.845675,,38.2156,143.096975,21.643675,34.03355
85.214975,,38.36635,143.17145,21.76685,34.13765
86.35905,,38.469075,144.2083,22.14725,34.163425
87.27375,,38.60835,144.250925,22.19565,34.213325
88.46705,,38.7356,144.3837,22.26125,34.255
88.832575,,38.869075,144.47625,22.33885,34.33025
89.147475,,39.0639,144.528925,22.5728,34.4265
89.689825,,39.18345,144.636775,22.934825,34.46225
89.726,,39.186525,144.6834,23.000475,34.558475
89.997425,,39.203675,144.742425,24.015925,34.6006
90.24075,,39.35415,144.83135,24.198075,34.632475
90.457875,,39.481625,144.88925,24.327175,34.665
90.48365,,39.76635,144.9316,24.403175,34.776175
91.307525,,40.110875,144.95925,24.58005,34.8085
91.463325,,40.249,145.031375,24.66795,34.845575
91.6677,,40.34315,145.134375,24.760225,34.880825
92.49375,,40.45265,145.375325,24.877975,34.9117
92.86065,,40.579575,145.381625,25.0326,34.941675
93.1328,,40.704925,145.57205,25.2064,35.30435
93.65375,,40.89245,145.679325,25.54495,35.559325
93.880175,,41.05735,145.735075,25.7158,35.65325
94.02905,,41.155175,145.75345,25.9313,35.743
95.240475,,41.28215,145.9211,25.98335,35.8096
95.602875,,41.526175,146.001075,26.0167,35.84565
96.9895,,41.771975,146.127975,26.1415,35.879125
97.056325,,41.959125,146.233625,26.30845,35.924175
97.566375,,42.111025,146.3728,26.490375,35.973425
97.719575,,42.524725,146.494425,26.52705,36.0132
97.935925,,42.7965,146.582325,26.6824,36.0829
98.71545,,43.040075,146.627025,26.824875,36.119225
99.273025,,43.0599,146.701825,27.020225,36.140825
99.4045,,43.1788,146.739775,27.2513,36.158375
100.21765,,43.40595,146.789125,27.31315,36.189425
100.761775,,43.576,146.85285,27.38945,36.225175
102.0231,,43.76245,146.907225,27.45065,36.27995
102.36985,,43.782325,146.93415,27.529725,36.396325
102.60025,,43.98675,147.0101,27.97425,36.452225
102.7114,,44.12955,147.050525,28.036125,36.47885
102.804975,,44.636275,147.0747,28.10995,36.61375
103.2191,,44.888,147.2295,28.208025,36.655875
103.575875,,45.006975,147.298325,28.280225,36.725225
104.195725,,45.0733,147.3742,28.322825,36.831425
104.492425,,45.192475,147.472525,28.380225,36.91465
104.61475,,45.617325,147.534025,28.405925,37.056025
104.7954,,45.775575,147.647925,28.4479,37.130275
104.94845,,45.905675,147.76995,28.521725,37.459625
105.0332,,46.033725,147.842275,28.64735,37.634
105.41865,,46.16815,147.93875,28.68885,37.6816
106.80475,,46.5297,148.02745,28.74465,38.076675
106.88465,,47.00755,148.0361,28.8467,38.237675
108.804625,,47.30715,148.233275,28.9876,38.29145
109.36395,,47.4479,148.2741,29.09875,38.308925
110.002075,,47.5835,148.35715,29.26165,38.378925
110.21385,,47.617225,148.475275,29.33315,38.596275
110.238575,,47.84995,148.6843,29.460925,38.6151
110.260325,,48.041525,148.7369,29.5367,38.654525
110.552675,,48.066625,148.854025,29.649725,38.703175
110.700825,,48.208925,149.055425,29.7586,38.78195
111.486375,,48.460075,149.19025,29.7987,38.81775
112.356625,,48.5507,149.3425,29.8718,38.87455
113.379575,,48.6306,149.4799,30.0289,39.056875
113.819125,,48.812975,149.512875,30.053275,39.0827
114.00435,,48.974225,149.66055,30.1739,39.12355
114.740375,,49.04415,149.697325,30.427625,39.18435
115.537125,,49.14815,149.968425,30.4783,39.22225
115.6522,,49.26405,149.996375,30.5846,39.267925
116.051225,,49.4201,150.161725,30.745625,39.3501
116.52295,,49.62165,150.31065,30.936775,39.390025
117.223375,,50.00015,150.578375,31.2885,39.451675
117.440525,,50.0467,150.876525,31.80145,39.573725
117.62615,,50.30065,150.9656,32.001775,39.610175
118.452325,,50.31335,151.153825,32.072875,39.6685
119.110225,,50.386875,151.427375,32.121275,39.71
119.159675,,50.5387,151.558275,32.161425,39.740525
119.831775,,50.7656,152.75805,32.223875,39.773
119.85315,,50.904625,153.002,32.341725,39.85895
120.31965,,51.03105,153.720575,32.466125,39.89625
121.56845,,51.088625,154.87305,32.5163,39.987725
121.5998,,51.1776,155.9303,32.617625,40.04425
122.635975,,51.3478,156.777625,32.719775,40.094075
123.163675,,51.496225,158.6118,32.77285,40.118825
123.829225,,51.6042,158.95165,32.804225,40.1305
124.9056,,51.618625,161.5569,32.873975,40.180675
125.498975,,51.70775,162.8372,32.932275,40.207
125.93575,,51.7088,164.477025,33.1141,40.2602
126.2572,,51.76695,164.640675,33.227125,40.4195
126.302075,,52.09845,164.804075,33.289725,40.55325
126.344975,,52.33165,164.9174,33.3322,40.7595
127.898725,,52.43225,169.5753,33.45505,40.7705
127.9688,,52.737725,169.973225,33.64455,40.854875
128.00665,,53.005125,170.0977,33.723275,41.02405
128.21145,,53.170625,170.441775,34.0882,41.430425
128.6246,,53.297725,170.5852,34.216825,41.570325
129.391025,,53.411225,170.62225,34.4033,41.6018
129.951725,,53.6169,170.706775,34.5242,41.613725
130.054975,,53.776775,170.7281,34.6383,41.630025
130.333,,53.926525,170.7795,34.74625,41.798725
130.59945,,53.989775,170.9059,35.055675,41.8434
130.7124,,54.147375,170.937775,35.116825,41.913975
130.945325,,54.24,171.01235,35.19305,41.95125
131.401175,,54.396275,171.04445,35.262,42.0453
133.8109,,54.5141,171.1545,35.482525,42.075275
134.098775,,54.6765,171.1585,35.54905,42.1414
134.1208,,54.723075,171.21595,35.636825,42.162675
134.347075,,54.905275,171.248975,35.893175,42.2415
135.0653,,55.052225,171.282075,36.043275,42.255425
136.065025,,55.115775,171.341225,36.378825,42.32315
136.5498,,55.17765,171.398,36.460975,42.3576
136.61635,,55.319725,171.443375,36.483825,42.3773
136.878925,,55.434325,171.572075,36.499425,42.414725
136.89945,,55.514275,171.61815,36.5136,42.4354
136.931475,,55.665275,171.659575,36.553775,42.47635
137.814175,,55.815725,171.710375,36.694925,42.520625
138.032875,,55.91775,171.874925,36.733025,42.663175
138.835075,,56.0403,171.907725,36.762125,42.722975
139.06285,,56.0984,172.049,36.80045,42.7403
141.069625,,56.18395,172.186525,36.811825,42.773825
142.71435,,56.314025,172.2413,36.83625,42.91515
144.669725,,56.428225,172.291,36.8883,43.021875
144.8049,,56.537275,172.35745,36.91945,43.0623
144.85455,,56.7098,172.4054,36.969775,43.10975
146.410925,,56.916425,172.48615,37.021475,43.15665
149.763475,,57.039775,172.574575,37.06845,43.181175
150.63235,,57.182725,172.624225,37.143275,43.22625
150.782675,,57.311075,172.6964,37.305275,43.277925
151.117925,,57.608125,172.729675,37.6714,43.352225
151.77165,,57.6661,172.769175,37.715675,43.410925
151.916275,,57.78895,172.841125,37.801825,43.467475
151.970475,,57.967075,172.897975,38.072125,43.530275
152.321925,,58.2213,172.9177,38.110725,43.61045
152.54525,,58.465325,172.95965,38.1874,43.663475
152.99575,,58.5532,173.064775,38.306025,43.694
153.1305,,58.581975,173.164875,38.453175,43.8785
153.203775,,58.695525,173.195175,38.585625,43.94735
153.65975,,58.811775,173.227325,38.71755,43.984325
153.70025,,58.9417,173.2799,38.7489,44.3644
153.785625,,59.02785,173.29515,39.24855,44.50385
153.845925,,59.18535,173.32035,39.27025,44.669375
153.8847,,59.301,173.376675,39.2997,44.69215
154.542875,,59.3875,173.463925,39.612875,45.1241
154.5547,,59.407575,173.486175,39.636475,45.203625
154.58175,,59.570275,173.51135,39.646475,45.249875
155.409375,,59.6604,173.587,39.68505,45.361425
155.602425,,59.800475,173.643825,39.700425,45.4207
155.678675,,59.93785,173.676325,39.7489,45.471825
155.8502,,60.0323,173.7207,39.79655,45.521325
156.60355,,60.17305,173.806675,39.80775,45.6973
156.8623,,60.56235,174.039475,39.8299,45.83835
157.13865,,60.85885,174.384375,39.85515,45.8689
157.290125,,60.995025,174.619125,39.914975,45.959325
157.402825,,61.1364,175.016375,40.0316,45.994225
158.56275,,61.3151,175.37125,40.0663,46.046475
158.725075,,61.41735,175.53125,40.163125,46.0684
158.727425,,61.570925,175.69885,40.19075,46.092975
158.8948,,61.6901,175.7484,40.2986,46.145025
158.95635,,61.809525,175.7724,40.33495,46.1829
159.398925,,62.0583,176.46805,40.35725,46.295
159.5626,,62.281525,176.58915,40.4667,46.4305
159.78745,,62.341125,176.651725,40.52745,46.470125
159.833375,,62.36635,177.1944,40.592825,46.510275
159.94905,,62.5542,177.46465,40.87,46.54025
160.0134,,62.6029,177.62485,40.916825,46.61215
160.47975,,62.805825,177.67935,40.96385,46.68315
160.829,,63.207175,177.741575,41.2048,46.751525
161.227925,,63.38435,177.7602,41.34725,46.779875
161.683,,63.71125,177.786575,41.4464,47.10835
162.417175,,63.887825,177.823475,41.5753,47.259175
162.660675,,63.906975,178.142525,41.6499,47.31365
162.841925,,63.93865,178.55345,41.72575,47.37145
163.15145,,64.062575,179.325,41.84985,47.466825
163.347125,,64.31275,179.5713,42.00885,47.5191
164.0302,,64.462075,179.62735,42.08475,47.53535
164.136725,,64.626925,179.75535,42.251725,47.567875
164.245075,,64.77385,179.794925,42.503525,47.606975
164.473775,,64.8856,179.95295,42.936925,47.6584
165.970525,,65.019925,180.05035,43.017025,47.727925
166.304225,,65.201325,180.528825,43.0684,47.8007
166.85875,,65.480525,180.710025,43.088125,47.87965
167.724075,,65.4964,180.85465,43.265225,47.9253
168.034825,,65.6339,181.412275,43.29815,48.0464
168.153925,,65.676975,181.698075,43.418775,48.1459
169.094475,,65.848925,181.902175,43.473175,48.349725
170.9296,,65.908275,182.1112,43.50385,48.474075
170.96365,,65.988875,183.143125,43.5607,48.6988
170.995925,,65.998175,184.7313,43.58015,48.78225
171.002775,,66.11715,185.796325,43.6494,48.820825
171.0336,,66.31195,185.902475,43.65675,49.130725
171.04355,,66.689625,186.1786,43.707175,49.200925
171.499775,,66.8076,187.4863,43.725625,49.285475
